0Hz,1Hz,2Hz,3Hz,4Hz,5Hz,6Hz,7Hz,8Hz,9Hz,10Hz,11Hz,12Hz,13Hz,14Hz,15Hz,16Hz,17Hz,18Hz,19Hz,20Hz,21Hz,22Hz,23Hz,24Hz,25Hz,26Hz,27Hz,28Hz,29Hz,30Hz,31Hz,32Hz,33Hz,34Hz,35Hz,36Hz,37Hz,38Hz,39Hz,40Hz,41Hz,42Hz,43Hz,44Hz,45Hz,46Hz,47Hz,48Hz,49Hz,50Hz,51Hz,52Hz,53Hz,54Hz,55Hz,56Hz,57Hz,58Hz,59Hz,60Hz,61Hz,62Hz,63Hz
1,3460,2764,379,3539,527,2048,1889,2077,4414,3011,111,2904,1150,1220,972,1380,4329,2541,1149,2257,1676,583,1862,1518,3215,1450,3423,3400,1695,402,2135,1945,2011,1159,6558,7905,1953,1154,1239,2397,2790,2825,9817,18752,4207,2661,832,3323,4221,4540,12111,45161,7622,4363,2806,4338,4843,5579,12514,163033,10800,5513,4329
1,3460,2764,379,3539,527,2048,1889,2077,4414,3011,111,2904,1150,1220,972,1380,4329,2541,1149,2257,1676,583,1862,1518,3215,1450,3423,3400,1695,402,2135,1945,2011,1159,6558,7905,1953,1154,1239,2397,2790,2825,9817,18752,4207,2661,832,3323,4221,4540,12111,45161,7622,4363,2806,4338,4843,5579,12514,163033,10800,5513,4329
1,3460,2764,379,3539,527,2048,1889,2077,4414,3011,111,2904,1150,1220,972,1380,4329,2541,1149,2257,1676,583,1862,1518,3215,1450,3423,3400,1695,402,2135,1945,2011,1159,6558,7905,1953,1154,1239,2397,2790,2825,9817,18752,4207,2661,832,3323,4221,4540,12111,45161,7622,4363,2806,4338,4843,5579,12514,163033,10800,5513,4329
1,4738,2726,1988,5705,1711,3451,4063,3631,3982,1347,2005,4452,994,3148,2005,1151,2749,842,2923,2524,977,2413,261,1690,1485,1605,5123,1898,1075,1913,1504,3298,854,2829,8257,6190,353,1559,1637,4141,2374,4424,11485,16996,2299,1309,1355,4202,3308,5596,13352,43690,5732,2254,1318,3324,3072,5540,12699,162440,9693,4142,2082
1,3248,2419,399,3499,1099,3164,2770,1623,2887,1938,1677,2917,1686,3058,1160,521,2553,2010,2874,1494,1705,1965,1189,2008,2293,1882,4213,2737,2033,614,2829,2833,2000,1941,6306,8488,3250,1545,3745,3040,1687,2920,9081,19856,5293,3264,4159,3095,1525,4655,11444,46032,7999,5015,4228,3192,2522,6061,12095,163341,10670,6186,3708
1,3248,2419,399,3499,1099,3164,2770,1623,2887,1938,1677,2917,1686,3058,1160,521,2553,2010,2874,1494,1705,1965,1189,2008,2293,1882,4213,2737,2033,614,2829,2833,2000,1941,6306,8488,3250,1545,3745,3040,1687,2920,9081,19856,5293,3264,4159,3095,1525,4655,11444,46032,7999,5015,4228,3192,2522,6061,12095,163341,10670,6186,3708
1,3248,2419,399,3499,1099,3164,2770,1623,2887,1938,1677,2917,1686,3058,1160,521,2553,2010,2874,1494,1705,1965,1189,2008,2293,1882,4213,2737,2033,614,2829,2833,2000,1941,6306,8488,3250,1545,3745,3040,1687,2920,9081,19856,5293,3264,4159,3095,1525,4655,11444,46032,7999,5015,4228,3192,2522,6061,12095,163341,10670,6186,3708
1,3248,2419,399,3499,1099,3164,2770,1623,2887,1938,1677,2917,1686,3058,1160,521,2553,2010,2874,1494,1705,1965,1189,2008,2293,1882,4213,2737,2033,614,2829,2833,2000,1941,6306,8488,3250,1545,3745,3040,1687,2920,9081,19856,5293,3264,4159,3095,1525,4655,11444,46032,7999,5015,4228,3192,2522,6061,12095,163341,10670,6186,3708
1,4732,3899,1613,2038,2605,4649,4190,3057,4217,3071,1714,2019,3071,4419,2368,1096,3934,3132,3250,1219,2856,3487,869,795,4374,3686,5336,1647,2408,2763,1671,1256,5196,4521,8042,6753,2211,2392,1701,1442,6029,5557,10863,17885,2993,1824,1121,2176,6251,6262,12509,44453,5524,2337,2092,2765,5508,5937,11864,162736,9057,4354,3951
1,2563,1702,661,4104,552,2692,2529,1476,2048,983,1433,2988,1696,3033,1706,1384,1946,1221,2136,1225,2407,2602,1007,1519,2688,1866,3688,2847,2759,2062,975,888,4026,2957,6247,8445,3379,2110,199,1115,5538,4326,9109,19802,4917,2962,1913,3079,6618,5599,11184,46079,7402,4483,4217,4627,6832,6252,11538,163387,10015,5841,6010
1,2563,1702,661,4104,552,2692,2529,1476,2048,983,1433,2988,1696,3033,1706,1384,1946,1221,2136,1225,2407,2602,1007,1519,2688,1866,3688,2847,2759,2062,975,888,4026,2957,6247,8445,3379,2110,199,1115,5538,4326,9109,19802,4917,2962,1913,3079,6618,5599,11184,46079,7402,4483,4217,4627,6832,6252,11538,163387,10015,5841,6010
1,2563,1702,661,4104,552,2692,2529,1476,2048,983,1433,2988,1696,3033,1706,1384,1946,1221,2136,1225,2407,2602,1007,1519,2688,1866,3688,2847,2759,2062,975,888,4026,2957,6247,8445,3379,2110,199,1115,5538,4326,9109,19802,4917,2962,1913,3079,6618,5599,11184,46079,7402,4483,4217,4627,6832,6252,11538,163387,10015,5841,6010
1,3331,2105,1519,5029,1211,3440,3716,2404,3290,2262,2982,4631,2322,4137,3673,2323,4146,3526,4535,3575,2651,3560,3601,2858,5539,4953,6869,1479,2135,2533,4092,3953,7125,6561,9890,4502,1147,2173,4398,4875,8138,7687,12440,16044,753,1670,3558,4699,7644,7548,13244,43363,4032,1207,1281,2934,5383,5957,11671,162394,8155,3422,2025
1,875,2114,1780,1960,2305,3075,1050,927,420,681,1008,1788,2440,3172,930,1463,1465,870,1896,1025,2143,2215,1513,2009,2881,2384,4255,1869,1497,608,2673,2746,4070,3870,6997,7593,2375,2288,3829,3678,4831,5303,9548,19528,5104,4600,4721,4568,5221,6510,11303,46235,8174,6346,5255,5179,5407,7234,11733,163518,10611,7231,5449
