0Hz,1Hz,2Hz,3Hz,4Hz,5Hz,6Hz,7Hz,8Hz,9Hz,10Hz,11Hz,12Hz,13Hz,14Hz,15Hz,16Hz,17Hz,18Hz,19Hz,20Hz,21Hz,22Hz,23Hz,24Hz,25Hz,26Hz,27Hz,28Hz,29Hz,30Hz,31Hz,32Hz,33Hz,34Hz,35Hz,36Hz,37Hz,38Hz,39Hz,40Hz,41Hz,42Hz,43Hz,44Hz,45Hz,46Hz,47Hz,48Hz,49Hz,50Hz,51Hz,52Hz,53Hz,54Hz,55Hz,56Hz,57Hz,58Hz,59Hz,60Hz,61Hz,62Hz,63Hz
1,1789,793,1065,625,1086,732,1627,27321,1672,793,975,65,1057,646,1239,23110,1331,741,942,699,1100,609,801,17292,902,676,1057,1319,1235,667,644,11263,570,640,1186,5996,1320,769,798,6328,445,649,1155,17712,1215,844,885,3318,397,695,895,44859,887,861,782,2177,388,760,493,163011,461,825,556
1,1789,793,1065,625,1086,732,1627,27321,1672,793,975,65,1057,646,1239,23110,1331,741,942,699,1100,609,801,17292,902,676,1057,1319,1235,667,644,11263,570,640,1186,5996,1320,769,798,6328,445,649,1155,17712,1215,844,885,3318,397,695,895,44859,887,861,782,2177,388,760,493,163011,461,825,556
1,1789,793,1065,625,1086,732,1627,27321,1672,793,975,65,1057,646,1239,23110,1331,741,942,699,1100,609,801,17292,902,676,1057,1319,1235,667,644,11263,570,640,1186,5996,1320,769,798,6328,445,649,1155,17712,1215,844,885,3318,397,695,895,44859,887,861,782,2177,388,760,493,163011,461,825,556
1,1789,793,1065,625,1086,732,1627,27321,1672,793,975,65,1057,646,1239,23110,1331,741,942,699,1100,609,801,17292,902,676,1057,1319,1235,667,644,11263,570,640,1186,5996,1320,769,798,6328,445,649,1155,17712,1215,844,885,3318,397,695,895,44859,887,861,782,2177,388,760,493,163011,461,825,556
1,1789,793,1065,625,1086,732,1627,27321,1672,793,975,65,1057,646,1239,23110,1331,741,942,699,1100,609,801,17292,902,676,1057,1319,1235,667,644,11263,570,640,1186,5996,1320,769,798,6328,445,649,1155,17712,1215,844,885,3318,397,695,895,44859,887,861,782,2177,388,760,493,163011,461,825,556
1,1614,821,339,1867,377,757,1532,26106,1413,800,243,1164,215,636,1200,21997,995,700,573,914,163,521,742,16354,541,550,1038,2262,450,486,384,10592,432,384,1389,6939,620,519,381,6059,613,237,1497,18417,570,540,432,3600,654,181,1322,45291,345,501,349,2826,509,271,918,163156,447,401,323
1,1614,821,339,1867,377,757,1532,26106,1413,800,243,1164,215,636,1200,21997,995,700,573,914,163,521,742,16354,541,550,1038,2262,450,486,384,10592,432,384,1389,6939,620,519,381,6059,613,237,1497,18417,570,540,432,3600,654,181,1322,45291,345,501,349,2826,509,271,918,163156,447,401,323
1,1614,821,339,1867,377,757,1532,26106,1413,800,243,1164,215,636,1200,21997,995,700,573,914,163,521,742,16354,541,550,1038,2262,450,486,384,10592,432,384,1389,6939,620,519,381,6059,613,237,1497,18417,570,540,432,3600,654,181,1322,45291,345,501,349,2826,509,271,918,163156,447,401,323
1,1614,821,339,1867,377,757,1532,26106,1413,800,243,1164,215,636,1200,21997,995,700,573,914,163,521,742,16354,541,550,1038,2262,450,486,384,10592,432,384,1389,6939,620,519,381,6059,613,237,1497,18417,570,540,432,3600,654,181,1322,45291,345,501,349,2826,509,271,918,163156,447,401,323
1,1614,821,339,1867,377,757,1532,26106,1413,800,243,1164,215,636,1200,21997,995,700,573,914,163,521,742,16354,541,550,1038,2262,450,486,384,10592,432,384,1389,6939,620,519,381,6059,613,237,1497,18417,570,540,432,3600,654,181,1322,45291,345,501,349,2826,509,271,918,163156,447,401,323
1,1445,953,825,722,775,849,1293,25073,1368,905,823,418,592,610,964,21373,1086,781,910,872,313,377,576,16246,684,706,1102,2506,211,413,324,10910,295,715,1266,7564,423,559,339,6502,152,692,1289,19194,567,569,348,3740,220,541,1147,45917,617,399,227,2585,155,258,906,163394,699,96,25
1,1445,953,825,722,775,849,1293,25073,1368,905,823,418,592,610,964,21373,1086,781,910,872,313,377,576,16246,684,706,1102,2506,211,413,324,10910,295,715,1266,7564,423,559,339,6502,152,692,1289,19194,567,569,348,3740,220,541,1147,45917,617,399,227,2585,155,258,906,163394,699,96,25
1,1445,953,825,722,775,849,1293,25073,1368,905,823,418,592,610,964,21373,1086,781,910,872,313,377,576,16246,684,706,1102,2506,211,413,324,10910,295,715,1266,7564,423,559,339,6502,152,692,1289,19194,567,569,348,3740,220,541,1147,45917,617,399,227,2585,155,258,906,163394,699,96,25
1,1445,953,825,722,775,849,1293,25073,1368,905,823,418,592,610,964,21373,1086,781,910,872,313,377,576,16246,684,706,1102,2506,211,413,324,10910,295,715,1266,7564,423,559,339,6502,152,692,1289,19194,567,569,348,3740,220,541,1147,45917,617,399,227,2585,155,258,906,163394,699,96,25
1,1445,953,825,722,775,849,1293,25073,1368,905,823,418,592,610,964,21373,1086,781,910,872,313,377,576,16246,684,706,1102,2506,211,413,324,10910,295,715,1266,7564,423,559,339,6502,152,692,1289,19194,567,569,348,3740,220,541,1147,45917,617,399,227,2585,155,258,906,163394,699,96,25
1,1247,692,626,1561,772,722,1131,24250,1148,473,300,1159,728,589,850,20613,865,115,181,1344,578,400,519,15594,513,285,611,3103,492,332,318,10415,349,614,941,8136,557,370,316,6229,470,777,1086,19635,639,320,282,3747,533,734,1042,46191,673,119,164,2799,437,512,881,163487,732,191,239
1,1247,692,626,1561,772,722,1131,24250,1148,473,300,1159,728,589,850,20613,865,115,181,1344,578,400,519,15594,513,285,611,3103,492,332,318,10415,349,614,941,8136,557,370,316,6229,470,777,1086,19635,639,320,282,3747,533,734,1042,46191,673,119,164,2799,437,512,881,163487,732,191,239
1,1247,692,626,1561,772,722,1131,24250,1148,473,300,1159,728,589,850,20613,865,115,181,1344,578,400,519,15594,513,285,611,3103,492,332,318,10415,349,614,941,8136,557,370,316,6229,470,777,1086,19635,639,320,282,3747,533,734,1042,46191,673,119,164,2799,437,512,881,163487,732,191,239
1,1247,692,626,1561,772,722,1131,24250,1148,473,300,1159,728,589,850,20613,865,115,181,1344,578,400,519,15594,513,285,611,3103,492,332,318,10415,349,614,941,8136,557,370,316,6229,470,777,1086,19635,639,320,282,3747,533,734,1042,46191,673,119,164,2799,437,512,881,163487,732,191,239
1,1247,692,626,1561,772,722,1131,24250,1148,473,300,1159,728,589,850,20613,865,115,181,1344,578,400,519,15594,513,285,611,3103,492,332,318,10415,349,614,941,8136,557,370,316,6229,470,777,1086,19635,639,320,282,3747,533,734,1042,46191,673,119,164,2799,437,512,881,163487,732,191,239
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,988,604,566,836,633,631,1007,22684,840,523,418,871,624,616,907,19443,591,385,286,1636,586,580,735,14949,300,193,369,3745,570,560,557,10265,43,43,561,9023,578,588,425,6386,153,278,699,20545,585,656,338,3925,233,492,739,46871,592,715,267,2838,235,646,697,163739,630,721,226
1,988,604,566,836,633,631,1007,22684,840,523,418,871,624,616,907,19443,591,385,286,1636,586,580,735,14949,300,193,369,3745,570,560,557,10265,43,43,561,9023,578,588,425,6386,153,278,699,20545,585,656,338,3925,233,492,739,46871,592,715,267,2838,235,646,697,163739,630,721,226
1,988,604,566,836,633,631,1007,22684,840,523,418,871,624,616,907,19443,591,385,286,1636,586,580,735,14949,300,193,369,3745,570,560,557,10265,43,43,561,9023,578,588,425,6386,153,278,699,20545,585,656,338,3925,233,492,739,46871,592,715,267,2838,235,646,697,163739,630,721,226
