0Hz,1Hz,2Hz,3Hz,4Hz,5Hz,6Hz,7Hz,8Hz,9Hz,10Hz,11Hz,12Hz,13Hz,14Hz,15Hz,16Hz,17Hz,18Hz,19Hz,20Hz,21Hz,22Hz,23Hz,24Hz,25Hz,26Hz,27Hz,28Hz,29Hz,30Hz,31Hz,32Hz,33Hz,34Hz,35Hz,36Hz,37Hz,38Hz,39Hz,40Hz,41Hz,42Hz,43Hz,44Hz,45Hz,46Hz,47Hz,48Hz,49Hz,50Hz,51Hz,52Hz,53Hz,54Hz,55Hz,56Hz,57Hz,58Hz,59Hz,60Hz,61Hz,62Hz,63Hz
0,822,1846,1119,724,1489,2161,812,10479,757,1333,602,677,1693,2287,682,9855,781,717,41,1781,1754,2303,524,8854,1030,611,656,5158,1739,2332,629,7529,1418,1294,1248,11671,1741,2471,1026,5949,1803,2021,1723,23621,1828,2710,1486,4204,2086,2596,2033,49305,1983,2944,1881,2450,2205,2946,2160,164661,2124,3051,2134
0,997,1794,1050,898,1344,2033,940,10307,888,1354,628,786,1517,2113,696,9697,752,763,136,1668,1613,2149,373,8719,865,511,502,4987,1698,2275,536,7425,1261,1170,1072,11499,1825,2539,1084,5886,1724,1942,1574,23476,1993,2864,1631,4195,2102,2589,1951,49209,2150,3119,2056,2523,2307,3019,2170,164627,2228,3192,2293
0,599,1230,409,1536,780,1413,698,10801,445,1112,126,1276,1196,1620,753,9701,244,1120,443,2212,1656,1835,784,8057,93,1281,928,5704,2127,2047,819,6123,291,1551,1465,12295,2554,2239,868,4202,527,1854,2002,24193,2877,2386,922,2606,727,2131,2480,49705,3048,2464,956,1604,869,2338,2840,164804,3037,2451,944
0,522,1467,199,1841,461,1459,462,10580,539,1446,410,1570,917,1463,429,9738,472,1327,721,2523,1556,1464,471,8465,456,1072,1044,6020,2374,1423,650,6922,742,709,1515,12577,3240,1331,980,5276,1199,371,2219,24399,3957,1214,1383,3672,1627,430,3056,49823,4341,1091,1736,2277,1893,714,3815,164841,4288,938,1929
0,494,1061,709,1095,1053,1039,547,9812,499,1046,467,929,1496,1003,649,8886,548,980,446,2519,2090,917,714,7512,721,946,799,6271,2850,730,691,5893,1035,1072,1489,12888,3674,489,661,4234,1377,1318,2409,24682,4375,547,822,2690,1614,1515,3390,50018,4762,944,1161,1333,1657,1532,4222,164911,4715,1325,1486
0,1457,497,1170,2438,1387,406,1506,8558,1341,344,1025,1802,1760,139,1418,7964,1225,103,873,2403,2292,259,1161,7039,1118,590,902,6152,2934,585,767,5865,985,1121,1440,12952,3597,823,317,4532,817,1524,2314,24857,4155,998,99,3129,663,1707,3238,50187,4466,1197,384,1765,583,1658,3992,164979,4423,1447,528
0,1632,773,853,2089,1030,682,1652,8176,1619,776,680,1321,1296,670,1611,7447,1676,710,398,2359,1655,921,1498,6365,1834,679,197,6457,2074,1288,1426,5094,2091,734,799,13387,2506,1571,1582,3804,2401,819,1544,25289,2880,1669,1974,2640,2673,919,2254,50501,3103,1569,2411,1739,2802,1090,2799,165094,3090,1338,2716
0,1605,693,946,2233,1111,692,1695,8076,1540,686,766,1273,1233,778,1735,7513,1569,619,653,2318,1318,987,1689,6634,1694,525,709,6641,1383,1256,1570,5515,1851,545,910,13714,1446,1500,1443,4241,1960,766,1149,25652,1509,1659,1402,2891,1968,1080,1356,50781,1555,1696,1498,1548,1866,1380,1495,165198,1558,1598,1685
0,1282,188,1279,1678,991,368,1110,7560,1405,108,1498,498,673,493,858,7064,1516,407,1619,2368,365,601,520,6288,1639,748,1631,6835,127,748,153,5298,1764,1075,1534,13915,173,951,398,4172,1858,1344,1351,25818,322,1182,847,3000,1877,1522,1114,50890,466,1394,1257,1927,1789,1588,864,165236,642,1540,1580
0,1339,117,1279,1697,1102,619,1020,7519,1447,502,1337,1123,924,1192,632,6784,1314,855,1226,2106,917,1671,653,5681,974,1009,942,5915,1114,1983,1148,4370,580,948,520,12675,1361,2082,1664,3034,657,708,106,24594,1521,1956,2027,1843,1180,473,539,50002,1523,1629,2162,913,1694,680,1002,164913,1346,1164,2045
